NUMERO;OPERADOR
928000000;"SIN OPERADOR"
928000001;"SIN OPERADOR"
928000002;"SIN OPERADOR"
928000003;"SIN OPERADOR"
928000004;"SIN OPERADOR"
928000005;"SIN OPERADOR"
928000006;"SIN OPERADOR"
928000007;"SIN OPERADOR"
928000008;"SIN OPERADOR"
928000009;"SIN OPERADOR"
928000010;"SIN OPERADOR"
928000011;"SIN OPERADOR"
928000012;"SIN OPERADOR"
928000013;"SIN OPERADOR"
928000014;"SIN OPERADOR"
928000015;"SIN OPERADOR"
928000016;"SIN OPERADOR"
928000017;"SIN OPERADOR"
928000018;"SIN OPERADOR"
928000019;"SIN OPERADOR"
928000020;"SIN OPERADOR"
928000021;"SIN OPERADOR"
928000022;"SIN OPERADOR"
928000023;"SIN OPERADOR"
928000024;"SIN OPERADOR"
928000025;"SIN OPERADOR"
928000026;"SIN OPERADOR"
928000027;"SIN OPERADOR"
928000028;"SIN OPERADOR"
928000029;"SIN OPERADOR"
928000030;"SIN OPERADOR"
928000031;"SIN OPERADOR"
928000032;"SIN OPERADOR"
928000033;"SIN OPERADOR"
928000034;"SIN OPERADOR"
928000035;"SIN OPERADOR"
928000036;"SIN OPERADOR"
928000037;"SIN OPERADOR"
928000038;"SIN OPERADOR"
928000039;"AUNA Telecomunicaciones S.A.U."
928000040;"SIN OPERADOR"
928000041;"SIN OPERADOR"
928000042;"SIN OPERADOR"
928000043;"SIN OPERADOR"
928000044;"SIN OPERADOR"
928000045;"SIN OPERADOR"
928000046;"SIN OPERADOR"
928000047;"SIN OPERADOR"
928000048;"SIN OPERADOR"
928000049;"SIN OPERADOR"
928000050;"SIN OPERADOR"
928000051;"SIN OPERADOR"
928000052;"SIN OPERADOR"
928000053;"Retecal S.A. Operadora de Telecomunicaciones de Castilla y Leon S.A."
928000054;"SIN OPERADOR"
928000055;"SIN OPERADOR"
928000056;"SIN OPERADOR"
928000057;"SIN OPERADOR"
928000058;"SIN OPERADOR"
928000059;"SIN OPERADOR"
928000060;"SIN OPERADOR"
928000061;"SIN OPERADOR"
928000062;"SIN OPERADOR"
928000063;"SIN OPERADOR"
928000064;"SIN OPERADOR"
928000065;"AUNA Telecomunicaciones S.A.U."
928000066;"AUNA Telecomunicaciones S.A.U."
928000067;"SIN OPERADOR"
928000068;"SIN OPERADOR"
928000069;"SIN OPERADOR"
928000070;"SIN OPERADOR"
928000071;"SIN OPERADOR"
928000072;"SIN OPERADOR"
928000073;"SIN OPERADOR"
928000074;"SIN OPERADOR"
928000075;"SIN OPERADOR"
928000076;"AUNA Telecomunicaciones S.A.U."
928000077;"SIN OPERADOR"
928000078;"SIN OPERADOR"
928000079;"SIN OPERADOR"
928000080;"SIN OPERADOR"
928000081;"SIN OPERADOR"
928000082;"SIN OPERADOR"
928000083;"SIN OPERADOR"
928000084;"SIN OPERADOR"
928000085;"SIN OPERADOR"
928000086;"SIN OPERADOR"
928000087;"SIN OPERADOR"
928000088;"SIN OPERADOR"
928000089;"SIN OPERADOR"
928000090;"SIN OPERADOR"
928000091;"SIN OPERADOR"
